"No","En","Az","Tr","Ge","Ru","Ar"
"2","abscissa"," apsis","absis","აბსცისა","абсцисса","աբցիս"
"3","abscissa of point","noktasının apsisi","nöqtəsinin absisi","წერტილის აბსცისა","абсцисса точки","կետի աբցիսա"
"4","addition","toplama","toplama","შეკრება","сложение","միավորում"
"5","algebra","cebir","cəbr","ალგებრა","алгебра ","հանրահաշիվ"
"6","algorithm","algoritma","alqoritm","ალგორითმი","алгоритм","ալգորիթմ"
"7","angle","Açı","bucaq","კუთხე","угол","անկյուն"
"8","acute angle","dar açı","İti bucaq","მახვილი კუთხე","острый угол","սուր անկյուն"
"9","adjacent angle","komşu açı","qonşu bucaq","მოსაზღვრე კუთხე","смежный угол","կից անկյուն"
"10","adjacent angles","bitişik açılar","tamamlayıcı bucaqlar","მოსაზღვრე კუთხეები","смежные угли","կից անկյուններ"
"11","angle between the planes","uçaklar arasındakı açı","müstəvi arasındakı bucaq","სიბრტყეებს შორის კუთხე","угол между плоскостями","հարթությունների միջև անկյուն"
"12","angle of rotation","dönme açısı","fırlanma bucağı","მობრუნების კუთხე","угол вращения","հակադիր անկյուն"
"13","angle of turn","dönüş açısı","döngə bucağı","მობრუნების კუთხე","угол вращения","հակադիր անկյուն"
"14","central angle","merkezi açı","mərkəzi bucaq","ცენტრალური კუთხე","центральный угол","կենտրոնական անկյուն"
"15","corresponding angles","karşılık gelen açılar","uyğun bucaqlar","შესაბამისი კუთხეები","соответствующие углы","համապատասխան անկյուններ"
"16","degree measure of angle","açının derece ölçüsü","bucağın dərəcə ölçüsü","კუთხის გრადუსული ზომა","градусная мера угла","անկյան աստիճանի չափ"
"17","dihedral (two-sided) angle","dihedral (iki taraflı) açı","dihedral (iki tərəfli) bucaq","დიედრალური კუთხე","диедральный угол","երկկողմանի անկյուն"
"18","equal angles","eşit açılar","bərabər bucaqlar","ტოლი კუთხეები","равные угли","հավասար անկյուններ"
"19","exterior angle of polygon"," çokgen dış açısı","çoxbucağın xarici bucağı","მრალნალწევრის გარე კუთხე","внешний угол многоугольника","Բազմանկյոանի արտաքին անկյունը"
